Name;shaker;Whisky;Gin;Rhum blanc;Rhum Ambré;Vodka;Tequila;Curaçao bleu;Cointreau;Martini;Ananas;Lait de Coco;Passion;Orange;Citron Vert;Citron;Cranberry;Coca;Perrier;Tonic;melon;Grenadine;canne;orgeat;;Angostura bitters
pina colada;x;;;4;2;;;;;;12;4;;;;;;;;;;;;;;
margarita;x;;;;;;5;;3;;;;;;2;;;;;;;;;;;
cosmopolitan;x;;;;;4;;;2;;;;;;1;;2;;;;;;;;;
Blue Lagon;x;;;;;4;;3;;;;;;;;2;;;;;;;;;;
Tequila Sunrise;;;;;;;6;;;;;;;12;;;;;;;;2;;;;
Cuba Libre;;;;;6;;;;;;;;;;4;;;15;;;;;;;;
Daiquiri;x;;;4;;;;;;;;;;;2;;;;;;;;1;;;
Gin Fizz;x;;6;;;;;;;;;;;;4;;;;12;;;;2;;;
Zombie;x;;;3;3;;;;;;6;;;;2;;;;;;;0.5;1.5;;;
Ti-Punch;;;;6;;;;;;;;;;;;;;;;;;;2;;;
Long island Iced Tea;x;;1.5;1.5;;1.5;1.5;;1.5;;;;;;;1;;3;;;;;;;;
Aphrodisiaque;x;;2;;;;;;2;;;;;;;;;;;;;;;;;
Blue Hawaiian;x;;;4;;;;2;;;8;4;;;;;;;;;;;;;;
Mai Tai;x;;;3;3;;;;3;;;;;;3;;;;;;;;1;1;;
Dry Martini;;;5;;;;;;;1;;;;;;;;;;;;;;;;
Gin Tonic;;;3;;;;;;;;;;;;;;;;;6;;;;;;
Cocaine Liquide;;;;;;2;2;2;;;;;;;;;;;;;;;;;;
Planter-s Punch;;;;;6;;;;;;;;;2;;2;;;;;;1;;;;
Rainbow Shot the Sheriff;x;;;;;3;;2;;;;;;10;;;;;;;;3;;;;
kamikaze;;;;;;2;;;2;;;;;2;;;;;;;;;;;;
Aquarium;;;;4;;;4;4;;4;;;;;;;;;;;;;4;;;
Hurricane;;;;3;3;;;;;;;;1;;1.5;;;;;;;;;;;
